/	 ['NNP', 140]
sought	 ['NN', 140]
life	 ['NN', 140]
rates	 ['NNS', 139]
resort	 ['NN', 139]
please	 ['NNP', 139]
cars	 ['NNS', 138]
highlights	 ['NNS', 138]
smeg	 ['NNP', 137]
monash	 ['NNP', 137]
benches	 ['NNS', 136]
day	 ['NN', 136]
community	 ['NNP', 136]
charm	 ['NN', 135]
parklands	 ['NNS', 135]
studio	 ['NN', 135]
indoor	 ['NN', 135]
construction	 ['NN', 134]
parramatta	 ['NNP', 134]
sunnybank	 ['NNP', 133]
renovation	 ['NN', 133]
caesar	 ['NNP', 133]
built-in	 ['NNP', 132]
knox	 ['NNP', 130]
immaculate	 ['NN', 130]
foyer	 ['NN', 128]
air-conditioning	 ['NN', 128]
south	 ['NNP', 128]
birs	 ['NNP', 127]
club	 ['NN', 127]
downsizers	 ['NNS', 126]
condition	 ['NN', 126]
balconies	 ['NNS', 126]
remote	 ['NN', 125]
cupboard	 ['NN', 123]
pocket	 ['NN', 123]
friends	 ['NNS', 123]
eateries	 ['NNS', 123]
covered	 ['NNP', 122]
entertainer	 ['NN', 122]
sanctuary	 ['NN', 121]
times	 ['NNS', 121]
formal	 ['NNP', 121]
eastwood	 ['NNP', 121]
auction	 ['NNP', 121]
tennis	 ['NN', 121]
gate	 ['NN', 121]
tidy	 ['NN', 120]
forest	 ['NNP', 120]
A	 ['NNP', 120]
duplex	 ['NNP', 119]
bosch	 ['NNP', 119]
girls	 ['NNP', 119]
workshop	 ['NN', 118]
versatile	 ['NN', 118]
–	 ['NN', 118]
swimming	 ['NN', 117]
haven	 ['NN', 116]
ringwood	 ['NNP', 116]
hospital	 ['NNP', 116]
undercover	 ['NNP', 115]
picture	 ['NN', 115]
mount	 ['NNP', 114]
use	 ['NN', 114]
storey	 ['NN', 112]
future	 ['NN', 111]
income	 ['NN', 111]
option	 ['NN', 111]
custom	 ['NN', 110]
fire	 ['NN', 110]
presents	 ['NNS', 110]
sleek	 ['NNP', 109]
offer	 ['NN', 109]
inclusions	 ['NNS', 108]
vacuum	 ['NN', 108]
plans	 ['NNS', 108]
reverse	 ['NNP', 107]
vanity	 ['NN', 107]
waterfront	 ['NN', 106]
trees	 ['NNS', 106]
tranquil	 ['NNP', 106]
course	 ['NN', 106]
sense	 ['NN', 105]
streets	 ['NNS', 105]
blinds	 ['NNS', 104]
WIR	 ['NNP', 104]
quarter	 ['NN', 104]
peace	 ['NN', 104]
villa	 ['NN', 104]
lighting	 ['NN', 104]
oak	 ['NNP', 103]
real	 ['NNP', 103]
sunny	 ['NNP', 103]
carpets	 ['NNS', 103]
guest	 ['NN', 103]
sauna	 ['NN', 103]
nook	 ['NN', 102]
indoor/outdoor	 ['NN', 102]
mosman	 ['NNP', 102]
guests	 ['NNS', 102]
title	 ['NNP', 102]
trains	 ['NNS', 102]
return	 ['NN', 101]
AGENT	 ['NNP', 101]
hall	 ['NN', 100]
neighbourhood	 ['NN', 99]
short	 ['NNP', 99]
elegance	 ['NN', 99]
parkland	 ['NN', 98]
round	 ['NN', 97]
boronia	 ['NNP', 97]
beautiful	 ['NNP', 97]
advantage	 ['NN', 97]
art	 ['NNP', 97]
selection	 ['NN', 96]
media	 ['NNS', 96]
list	 ['NN', 96]
it’s	 ['NN', 96]
creek	 ['NNP', 96]
attention	 ['NN', 95]
statement	 ['NN', 95]
boat	 ['NN', 95]
growth	 ['NN', 95]
lake	 ['NNP', 95]
accuracy	 ['NN', 94]
robed	 ['NN', 94]
expansive	 ['NNP', 94]
oversized	 ['NNP', 94]
locale	 ['NN', 93]
summer	 ['NN', 93]
verandah	 ['NN', 93]
boys	 ['NNP', 93]
fixtures	 ['NNS', 93]
contact	 ['NN', 92]
array	 ['NN', 92]
walking	 ['NN', 91]
lots	 ['NNS', 91]
outdoors	 ['NNS', 91]
appointments	 ['NNS', 91]
minute	 ['NN', 91]
eastland	 ['NNP', 91]
enquiries	 ['NNP', 90]
vistas	 ['NNS', 90]
sunroom	 ['NN', 90]
control	 ['NN', 90]
number	 ['NN', 90]
surrounds	 ['NNS', 90]
lindfield	 ['NNP', 89]
LED	 ['NNP', 89]
steps	 ['NNS', 88]
cook	 ['NN', 88]
stop	 ['NN', 88]
A/C	 ['NNP', 87]
stations	 ['NNS', 87]
gold	 ['NNP', 87]
chase	 ['NNP', 87]
panels	 ['NNS', 87]
contemporary	 ['NNP', 86]
skyline	 ['NN', 86]
nothing	 ['NN', 86]
enjoy	 ['NNP', 85]
sophistication	 ['NN', 84]
chance	 ['NN', 84]
units	 ['NNS', 84]
cheltenham	 ['NNP', 84]
cupboards	 ['NNS', 84]
sources	 ['NNS', 83]
agent	 ['NNP', 83]
waverley	 ['NNP', 83]
work	 ['NN', 82]
railway	 ['NN', 82]
sale	 ['NNP', 82]
https	 ['NN', 82]
premium	 ['NNP', 81]
hub	 ['NN', 81]
bed	 ['NN', 81]
beaches	 ['NNS', 81]
suburb	 ['NN', 81]
extras	 ['NNS', 81]
lights	 ['NNS', 80]
townhouses	 ['NNS', 80]
heights	 ['NNS', 80]
beauty	 ['NN', 80]
lock-up	 ['NN', 80]
tandem	 ['NN', 80]
stunning	 ['NNP', 80]
coast	 ['NNP', 80]
melbourne	 ['NNP', 79]
price	 ['NN', 79]
reach	 ['NN', 79]
total	 ['NNP', 78]
granny	 ['NNP', 78]
hallway	 ['NN', 78]
killara	 ['NNP', 78]
ferry	 ['NN', 78]
lot	 ['NN', 78]
parties	 ['NNS', 77]
pergola	 ['NN', 77]
express	 ['NNP', 77]
walls	 ['NNS', 77]
wood	 ['NN', 77]
grammar	 ['NNP', 77]
document	 ['NN', 76]
glen	 ['NNP', 76]
child	 ['NN', 76]
four	 ['NNP', 76]
sits	 ['NNS', 76]
doorstep	 ['NN', 76]
wraparound	 ['NN', 76]
environment	 ['NN', 76]
class	 ['NN', 75]
world	 ['NN', 75]
morning	 ['NN', 75]
ID	 ['NNP', 74]
terraces	 ['NNS', 74]
elegant	 ['NN', 74]
bathroom*	 ['NNP', 74]
cage	 ['NN', 73]
benefits	 ['NNS', 73]
ease	 ['NN', 73]
power	 ['NN', 73]
multiple	 ['NNP', 73]
loads	 ['NNS', 73]
WC	 ['NNP', 72]
tenants	 ['NNS', 72]
wantirna	 ['NNP', 72]
developers	 ['NNS', 72]
gates	 ['NNS', 71]
grounds	 ['NNS', 71]
paint	 ['NN', 71]
ambience	 ['NN', 70]
theatre	 ['NN', 70]
bushland	 ['NN', 70]
bayswater	 ['NNP', 70]
calamvale	 ['NNP', 70]
conditioner	 ['NN', 70]
M2	 ['NNP', 70]
parents	 ['NNS', 70]
step	 ['NN', 70]
tree	 ['NN', 70]
built	 ['NNP', 69]
screens	 ['NNS', 69]
bridge	 ['NNP', 69]
move	 ['NN', 69]
oven	 ['NNS', 69]
ins	 ['NNS', 69]
kitchenette	 ['NN', 69]
visitor	 ['NN', 69]
heater	 ['NN', 69]
motorway	 ['NN', 68]
boasts	 ['NNS', 68]
properties	 ['NNS', 68]
cellar	 ['NN', 68]
reserves	 ['NNS', 68]
chef	 ['NN', 68]
stylish	 ['NNP', 67]
low-maintenance	 ['NN', 67]
mall	 ['NNP', 67]
excellent	 ['NNP', 67]
stops	 ['NNS', 67]
opportunities	 ['NNS', 66]
colour	 ['NN', 66]
polished	 ['NNP', 66]
picturesque	 ['NN', 66]
meters	 ['NNS', 66]
low	 ['NNP', 66]
share	 ['NN', 65]
kitchens	 ['NNS', 65]
residents	 ['NNS', 65]
executive	 ['NN', 65]
warrigal	 ['NNP', 65]
federation	 ['NNP', 65]
body	 ['NN', 65]
playground	 ['NN', 65]
hornsby	 ['NNP', 64]
lockup	 ['NN', 64]
king	 ['NN', 64]
include	 ['NN', 64]
willoughby	 ['NNP', 64]
ample	 ['NNP', 64]
wine	 ['NN', 64]
roof	 ['NN', 64]
purchasers	 ['NNS', 64]
browser	 ['NN', 63]
paste	 ['NN', 63]
outlooks	 ['NNS', 63]
copy	 ['NN', 63]
marble	 ['NN', 63]
standard	 ['NN', 63]
trams	 ['NNS', 63]
splashbacks	 ['NNS', 63]
stove	 ['NN', 63]
freshly	 ['NNP', 63]
>	 ['NNP', 63]
benchtop	 ['NN', 63]
roller	 ['NN', 63]
mitcham	 ['NNP', 62]
sunshine	 ['NN', 62]
laundry-	 ['NN', 62]
bungalow	 ['NN', 62]
recreation	 ['NN', 62]
rent	 ['NN', 62]
neutral	 ['NNP', 62]
INSPECTION	 ['NNP', 62]
wide	 ['NNP', 62]
responsibility	 ['NN', 62]
edge	 ['NN', 62]
whilst	 ['NN', 61]
facade	 ['NN', 61]
flat	 ['NN', 61]
w/c	 ['NN', 61]
deakin	 ['NNP', 61]
possibilities	 ['NNS', 61]
cottage	 ['NN', 61]
toilets	 ['NNS', 61]
tub	 ['NN', 61]
grand	 ['NNP', 61]
winter	 ['NNP', 60]
balmoral	 ['NNP', 60]
trails	 ['NNS', 60]
sandstone	 ['NN', 60]
staircase	 ['NN', 60]
backdrop	 ['NN', 60]
website	 ['NN', 60]
fireplaces	 ['NNS', 60]
warmth	 ['NN', 60]
completion	 ['NN', 60]
restaurant	 ['NN', 60]
x	 ['NN', 60]
call	 ['NN', 59]
updates	 ['NNS', 59]
suburbs	 ['NNP', 59]
airy	 ['NN', 59]
delivers	 ['NNS', 59]
uni	 ['NNP', 59]
masterpiece	 ['NN', 59]
wrap	 ['NN', 59]
premier	 ['NN', 59]
solar	 ['NN', 59]
blend	 ['NN', 59]
metre	 ['NNS', 59]
inspections	 ['NNP', 59]
agents	 ['NNS', 58]
easycare	 ['NNP', 58]
spot	 ['NN', 58]
pets	 ['NNS', 58]
boards	 ['NNS', 58]
enclave	 ['NN', 58]
residences	 ['NNS', 58]
tones	 ['NNS', 58]
S.T.C.A	 ['NNP', 58]
mind	 ['NN', 58]
needs	 ['NNS', 57]
grove	 ['NNP', 57]
herein	 ['NN', 57]
TAFE	 ['NNP', 56]
deluxe	 ['NNP', 56]
original	 ['NNP', 56]
fridge	 ['NN', 56]
AN	 ['NNP', 56]
renovated	 ['NNP', 56]
addition	 ['NN', 56]
seamless	 ['NNP', 56]
subject	 ['NN', 56]
avenue	 ['NNP', 56]
oasis	 ['NN', 56]
sunlight	 ['NN', 55]
CONTACT	 ['NNP', 55]
koonung	 ['NNP', 55]
scott	 ['NNP', 55]
cul	 ['NN', 55]
boxes	 ['NNS', 55]
barbecue	 ['NN', 55]
fence	 ['NN', 54]
highway	 ['NNP', 54]
text	 ['NN', 54]
flexibility	 ['NN', 54]
BIR	 ['NNP', 54]
cornices	 ['NNS', 54]
blue	 ['NNP', 54]
roseville	 ['NNP', 54]
ilve	 ['NNP', 54]
stamp	 ['NN', 54]
appliances-	 ['NN', 54]
back	 ['NNP', 54]
